Group;Total;Novelle (CATMA_107A613D-6FDF-4D8C-BEA0-45F635906515);NinaNovelle (CATMA_02144EEC-DFFA-43E6-AF96-08B9475BA9B3);Novelle - BA (CATMA_22CEEB64-FAE9-40C9-9420-15C288BACCDD);Negationen (CATMA_39DABD06-FA36-4ED8-A1EE-5134D0865DDE);Novelle - RA (CATMA_7F7E0907-3976-4594-8EC2-CB6AFA9BE0C4);JuliaNovelle (CATMA_CF61A733-367C-4244-8DA7-76FC3C3747A8);Die guten Weiber (CATMA_11CC92FD-3140-4269-89F7-E0CB18AE07B1);AH (CATMA_0B982D42-BDC5-48EB-B8A3-D570C253AE2E);RT (CATMA_312E0F48-83FC-4251-9E2A-841DBFBA23EF);Die guten Weiber RT (CATMA_DADBF4E3-1B15-4855-9350-D18D9AD57B19);Die-guten-Weiber (CATMA_FB2940CE-AEE1-416F-BDDA-757F87360851);Wahlverwandtschaften (CATMA_18BAFC3D-2234-4027-B640-B9D351F4B39F);Wahlverwandschaften AH (CATMA_88E1C752-2B4A-4203-AC78-5A873485C0D0);Wahlverwandschaften RA (CATMA_90F95DC3-326D-43AD-B5FA-ECF8F39B82EB);Negationen (CATMA_A6281CF8-524B-4D4D-8BD9-0FAA5F4CBB8D);Wahlverwandtschaften RT (CATMA_AA0DF310-AA5E-4E67-9CF6-BEE5FB8F3987);Intrinsic Markup (C_D84FA54F-4369-4519-B9DD-3BA7C1419CB5);Unterhaltungen deutscher Ausgewanderten (CATMA_247FA951-9E45-41D2-AA91-E78A05400BCC);Unterhaltungen-BA (CATMA_22E44727-3A19-4B47-BCF9-9DAFACBDA88F);Negationen (CATMA_451455DA-4E57-4DBA-ACA7-DD07C2D8F9BD);NL (CATMA_D311DA8F-F52E-47BA-AC32-20B0A6433240);Hermann und Dorothea (CATMA_2F966BE4-CC2C-4322-AEAD-FDD1E753D02C);RT (CATMA_33280756-8D32-4677-AAAD-5E4B0A0B559A);AH  (CATMA_3610025C-7068-4088-B2E3-3DF29CBCE2C6);Nina (CATMA_3FBB20FB-44E6-4709-8FD6-1C54C332FF6D);Negationen (CATMA_8BE83E71-8800-48E4-9E5D-0E1603F01120);JH (CATMA_90F67794-BD72-4356-9404-51674DF3A7DB);AH 2 (CATMA_989A4105-572C-4321-8F87-C9EF33C94E6D);Wilhelm Meisters Wanderjahre (CATMA_C827B919-4F5A-46D9-B9AE-78DC38A9619B);Wanderjahre-BA (CATMA_02BEF971-1549-4655-A4EF-C1FC4EA72DE6);Rabea_Wanderjahre (CATMA_0CFC4EF0-8DD5-43A7-95C5-EEAFA2C2342F);Wanderjahre-AH (CATMA_2CFCA777-4D18-42AE-9144-4311324EBAD4);Wanderjahre-JCM (CATMA_44908A6C-48B4-4373-B176-D10DAEA5500C);Wanderjahre-CA (CATMA_653C6DEB-407F-43C8-BC76-D969FC66641A);WanderjahreNB (CATMA_8EBE384C-3BD2-4CBB-8D78-A9C57A3199D9);Wanderjahre LE (CATMA_A880482C-553C-47AE-970D-CD9BBDC9621C);Wanderjahre NL (CATMA_CA02062B-F6B3-40A6-8D86-E6C5D1A963AF);Wanderjahre-JH (CATMA_E203D09A-CF82-4DF4-91E5-50F3D792B02E);Wanderjahre RT (CATMA_FFE8229F-219B-441D-915D-9DE94600CEF5);Reise der Söhne Megaprazon. Fragmente (CATMA_D0B27074-C416-4B2D-B68B-3C8354ACA8C4);RT (CATMA_AD8D9875-F99A-4030-9AA2-D8EF24350303);AH (CATMA_E8050D90-D89D-4127-B563-3CD2B0F19197)
" meinem Pferde mag die Erholung zu gut kommen.
 Bald fanden sich die Drei im Saale zusammen; das Essen wurde aufgetragen, und Mittler erzählte von seinen heutigen Taten und Vorhaben. Dieser seltsame Mann war früherhin Geistlicher gewesen und hatte sich bei einer rastlosen Tätigkeit in seinem Amte dadurch ausgezeichnet, daß er alle Streitigkeiten, sowohl die häuslichen, als die nachbarlichen, erst der einzelnen Bewohner, sodann ganzer Gemeinden und mehrerer Gutsbesitzer, zu stillen und zu schlichten wußte. So lange er im Dienste war, hatte sich kein Ehepaar scheiden lassen, und die Landeskollegien wurden mit keinen Händeln und Prozessen von dorther behelliget. Wie nötig ihm die Rechtskunde sei, wurde er zeitig gewahr. Er warf sein ganzes Studium darauf, und fühlte sich bald den geschicktesten Advokaten gewachsen. Sein Wirkungskreis dehnte sich wunderbar aus, und man war im Begriff ihn nach der Residenz zu ziehen, um das von oben herein zu vollenden, was er  
von unten herauf begonnen hatte, als er einen ansehnlichen Lotteriegewinn tat, sich ein mäßiges Gut kaufte, es verpachtete und zum Mittelpunkt seiner Wirksamkeit machte, mit dem festen Vorsatz, oder vielmehr nach alter Gewohnheit und Neigung, in keinem Hause zu verweilen, wo nichts zu schlichten und nichts zu helfen wäre. Diejenigen die auf Namensbedeutungen abergläubisch sind, behaupten, der Name Mittler habe ihn genötigt, d";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
" mit Ottilies Behandlung des Saiteninstruments wieder wie vormals zusammentraf. So rückte man dem Geburtstage Eduards näher, dessen Feier man vor einem Jahre nicht erreicht hatte. Er sollte ohne Festlichkeit in stillem freundlichen Behagen diesmal gefeiert werden. So war man, halb stillschweigend halb ausdrücklich, mit einander übereingekommen. Doch je näher diese Epoche heranrückte, vermehrte sich das Feierliche in Ottilies Wesen, das man bisher mehr empfunden als bemerkt hatte. Sie schien im Garten oft die Blumen zu mustern; sie hatte dem Gärtner angedeutet, die Sommergewächse aller Art zu schonen, und sich besonders bei den Aster aufgehalten, die gerade dieses Jahr in unmäßiger Menge blühten.
 

 Achtzehntes Kapitel.

 Das Bedeutendste jedoch was die Freunde mit stiller Aufmerksamkeit beobachteten, war, daß Ottilie den Koffer zum erstenmal ausgepackt und daraus verschiedenes gewählt und abgeschnitten hatte, was zu einem einzige";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
" mit Vergleich nun gar nichts auszurichten. Alles eigentlich  
gemeinsame Gute muß durch das unumschränkte Majestätsrecht gefördert werden.
Indem sie standen und sprachen, bettelte sie ein Mensch an, der mehr frech als bedürftig aussah. Eduard, ungern unterbrochen und beunruhigt, schalt ihn, nachdem er ihn einigemal vergebens gelassener abgewiesen hatte; als aber der Kerl sich murrend, ja gegenscheltend, mit kleinen Schritten entfernte, auf die Rechte des Bettlers trotzte, dem man wohl ein Almosen versagen, ihn aber";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
" morgen von ihrer Seite anlangen. Sie bitten um ei";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
" mußte notwendig dari";5;;;;;;;;;;;;5;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
" mußte notwendig darin";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
" mußte notwendig darin angemerkt stehen. Er durchblättert einige Bände; der Umstand findet sich: aber wie erstaunt, wie erfreut ist Eduard, als er das wunderbarste Zusammentreffen bemerkt. Der Tag, das Jahr jener Baumpflanzung ist zugleich der Tag, das Jahr von Ottilies Geburt.
 
 Fünfzehntes Kapitel.

 Endlich leuchtete Eduard der sehnlich erwartete Morgen und nach und nach stellten viele Gäste sich ein: denn man hatte die Einladungen weit umher geschickt, und manche die das Legen des Grundsteins versäumt hatten, wovon man so viel artiges erzählte, wollten diese zweite Feierlichkeit um so weniger verfehlen.
Vor Tafel erschienen die Zimmerleute mit Musik im Schloßhofe, ihren reichen Kranz tragend, der aus vielen stufenweise übereinander schwankenden Laub- und Blumenreifen zusammengesetzt war. Sie sprachen ihren Gruß, und erbaten sich zur gewöhnlichen Ausschmückung

 
 seidene Tücher und Bänder von dem schönen Geschlecht. Indes die Herrschaft speiste, setzten sie ihren jauchzenden Zug weiter fort, und nachdem sie sich eine Zeit lang im Dorfe aufgehalten und daselbst Frauen und Mädchen gleichfalls um manches Band gebracht; so kamen sie endlich, begleitet und erwartet von einer großen Menge, auf die Höhe wo das gerichtete Haus stand.
Charlotte hielt nach der Tafel die Gesellschaft einigermaßen zurück. Sie wollte keinen feierlichen förmlichen Zug und man fand sich daher in einzelnen Partien, ohne Rang und Ordnung, auf dem Platz gemächlich ein. Charlotte zögerte mit Ottilie und machte dadurch die Sache nicht besser: denn weil Ottilie wirklich die letzte war die herantrat, so schien es als wenn Trompeten und Pauken nur auf sie gewartet hätten, als wenn die Feierlichkeit bei ihrer Ankunft nun gleich beginnen müßte.
 Dem Hause das rohe Ansehen zu nehmen, hatte man es mit grünem Reisig und Blumen, nach Angabe des Hauptmanns, architektonisch ausgeschmückt, allein ohne dessen Mitwissen hatte Eduard den Architekten veranlaßt, in dem Gesims das Datum mit Blumen zu bezeichnen. Das mochte noch hingehen; allein zeitig genug langte der Hauptmann an, um zu verhindern, daß nicht auch der Name Ottilies im Giebelfelde glänzte. Er wußte dieses Beginnen auf eine geschickte Weise abzulehnen und die schon fertigen Blumenbuchstaben bei Seite zu bringen.
Der Kranz war aufgesteckt und weit umher in der Gegend sichtbar. Bunt flatterten die Bänder und Tücher in der Luft und eine kurze Rede verschollte zum größten Teil im Winde. Die Feierlichkeit war zu Ende, der Tanz auf dem geebneten und mit Lauben umkreisten Platze vor dem Gebäude sollte nun angehen. Ein schmucker Zimmergeselle führte  
Eduard ein flinkes Bauermädchen zu, und forderte Ottilie auf, welche daneben stand. Die beiden Paare fanden sogleich ihre Nachfolger und bald genug wechselte Eduard, indem er Ottilie ergriff und mit ihr die Runde machte. Die jüngere Gesellschaft mischte sich fröhlich in den Tanz des Volks, indes die älteren beobachteten.
Sodann, ehe man sich auf den Spaziergängen zerstreute, wurde abgeredet, daß man sich mit Untergang der Sonne bei den Platanen wieder versammeln wolle. Eduard fand sich zuerst ein, ordnete alles und nahm Abrede mit dem Kammerdiener, der auf der anderen Seite, in Gesellschaft des Feuerwerkers, die Lusterscheinungen zu besorgen hatte.
Der Hauptmann bemerkte die dazu getroffenen Vorrichtungen nicht mit Vergnügen; er wollte wegen des zu erwartenden Andrangs der Zuschauer mit Eduard sprechen, als ihn  
derselbe etwas hastig bat, er möge ihm diesen Teil der Feierlichkeit doch allein überlassen.
Schon hatte sich das Volk auf die oberwärts abgestochenen und vom Rasen entblößten Dämme gedrängt, wo das Erdreich uneben und unsicher war. Die Sonne ging unter, die Dämmerung trat ein, und in Erwartung größerer Dunkelheit wurde die Gesellschaft unter den Platanen mit Erfrischungen bedient. Man fand den Ort unvergleichlich und freute sich in Gedanken, künftig von hier die Aussicht auf einen weiten und so mannigfaltig begrenzten See zu genießen.
Ein ruhiger Abend, eine vollkommene Windstille versprachen das nächtliche Fest zu begünstigen, als auf einmal ein entsetzliches Geschrei entstand. Große Schollen hatten sich vom Damme losgetrennt, man sah mehrere Menschen ins Wasser stürzen. Das Erdreich  
hatte nachgegeben unter dem Drängen und Treten der immer zunehmenden Menge. Jeder wollte den besten Platz haben und nun konnte Niemand vorwärts noch zurück.
Jedermann sprang auf und hinzu, mehr um zu schauen als zu tun: denn was war da zu tun wo Niemand hinreichen konnte. Nebst einigen Entschlossenen eilte der Hauptmann, trieb sogleich die Menge von dem Damm herunter nach den Ufern, um den Hülfreichen freie Hand zu geben, welche die Versinkenden herauszuziehen suchten. Schon waren alle, teils durch eigenes, teils durch fremdes Bestreben, wieder auf dem Trockenen, bis auf einen Knaben, der durch allzu ängstliches Bemühen, statt sich dem Damm zu nähern, sich davon entfernt hatte. Die Kräfte schienen ihn zu verlassen, nur einigemal kam noch eine Hand, ein Fuß in die Höhe. Unglücklicher Weise war der Kahn auf der anderen Seite, mit Feuerwerk gefüllt, nur langsam
 
 konnte man ihn ausladen und die Hilfe verzögerte sich. Des Hauptmanns Entschluß war gefaßt, er warf die Oberkleider weg, aller Augen richteten sich auf ihn, und seine tüchtige kräftige Gestalt flößte Jedermann Zutrauen ein; aber ein Schrei der Überraschung drang aus der Menge hervor, als er sich ins Wasser stürzte. Jedes Auge begleitete ihn, der als geschickter Schwimmer den Knaben bald erreichte und ihn, jedoch für tot, an den Damm brachte.
Indessen ruderte der Kahn herbei, der Hauptmann bestieg ihn und forschte genau von den Anwesenden, ob denn auch wirklich alle gerettet seien. Der Chirurg kommt und übernimmt den totgeglaubten Knaben; Charlotte tritt hinzu, sie bittet den Hauptmann nur für sich zu Sorgen, nach dem Schlosse zurückzukehren und die Kleider zu wechseln. Er zaudert, bis ihm gesetzte verständige Leute, die ganz nahe gegenwärtig gewesen, die selbst  
zur Rettung der einzelnen beigetragen, auf das heiligste versichern, daß alle gerettet seien.
Charlotte sieht ihn nach Hause gehen, sie denkt, daß Wein und Tee, und was sonst nötig wäre, verschlossen ist, daß in solchen Fällen die Menschen gewöhnlich verkehrt handeln; sie eilt durch die zerstreute Gesellschaft, die sich noch unter den Platanen befindet; Eduard ist beschäftigt Jedermann zuzureden: man soll bleiben; in kurzem gedenkt er das Zeichen zu geben und das Feuerwerk soll beginnen; Charlotte tritt hinzu und bittet ihn, ein Vergnügen zu verschieben das jetzt nicht am Platze sei, das in dem gegenwärtigen Augenblick nicht genossen werden könne; sie erinnert ihn, was man dem Geretteten und dem Retter schuldig sei. Der Chirurg wird schon seine Pflicht tun, versetzte Eduard. Er ist mit allem versehen und unser Zudringen wäre nur eine hinderliche Teilnahme.
 Charlotte bestand auf ihrem Sinne und winkte Ottilie, die sich sogleich zum Weggehen anschickte. Eduard ergriff ihre Hand und rief: Wir wollen diesen Tag nicht im Lazarett endigen! Zur barmherzigen Schwester ist sie zu gut. Auch ohne uns werden die Scheintoten erwachen und die Lebendigen sich abtrocknen.
Charlotte schwieg und ging. Einige folgten ihr, andere diesen; endlich wollte Niemand der letzte sein und so folgten alle. Eduard und Ottilie fanden sich allein unter den Platanen. Er bestand darauf zu bleiben, so dringend, so ängstlich sie ihn auch bat, mit ihr nach dem Schlosse zurückzukehren. Nein, Ottilie! rief er: das Außerordentliche geschieht nicht auf glattem gewöhnlichen Wege. Dieser überraschende Vorfall von heute Abend bringt uns schneller zusammen. Du bist die meine! Ich habe dir's schon so oft gesagt und geschworen
 
; wir wollen es nicht mehr sagen und schwören, nun soll es werden!
Der Kahn von der anderen Seite schwamm herüber. Es war der Kammerdiener, der verlegen anfragte: was nunmehr mit dem Feuerwerk werden sollte. Brennt es ab! rief er ihm entgegen. Für dich allein war es bestellt, Ottilie, und nun sollst du es auch allein sehen! Erlaube mir an deiner Seite sitzend, es mit zu genießen. Zärtlich bescheiden setzte er sich neben sie ohne sie zu berühren.
Raketen rauschten auf, Kanonenschläge donnerten, Leuchtkugeln stiegen, Schwärmer schlängelten und platzten, Räder gischten, jedes erst einzeln, dann gepaart, dann alle zusammen, und immer gewaltsamer hintereinander und zusammen. Eduard dessen Busen brannte, verfolgte mit lebhaft zufriedenem Blick diese feurigen Erscheinungen. Ottilies zartem, aufgeregten Gemüt war dieses rauschende
 
 blitzende Entstehen und Verschwinden eher ängstlich als angenehm. Sie lehnte sich schüchtern an Eduard, dem diese Annäherung, dieses Zutrauen das volle Gefühl gab, daß sie ihm ganz angehöre.
Die Nacht war kaum in ihre Rechte wieder eingetreten, als der Mond aufging und die Pfade der beiden Rückkehrenden beleuchtete. Eine Figur, den Hut in der Hand, vertrat ihnen den Weg, und sprach sie um ein Almosen an, da er an diesem festlichen Tage versäumt worden sei. Der Mond schien ihm ins Gesicht und Eduard erkannte die Züge jenes zudringlichen Bettlers. Aber so glücklich wie er war, konnte er nicht ungehalten sein, konnte es ihm nicht einfallen, daß besonders für heute das Betteln höchlich verpönt worden. Er forschte nicht lange in der Tasche und gab ein Goldstück hin. Er hätte jeden gern glücklich gemacht, da sein Glück ohne Grenzen schien.
 Zu Hause war indes alles erwünscht gelungen. Die Tätigkeit des Chirurgen, die Bereitschaft alles Nötigen, der Beistand Charlottes, alles wirkte zusammen und der Knabe wurde wieder zum Leben hergestellt. Die Gäste zerstreuten sich, sowohl um noch etwas vom Feuerwerk aus der Ferne zu sehen, als auch, um nach solchen verworrenen Szenen ihre ruhige Heimat wieder zu betreten.
Auch hatte der Hauptmann, geschwind umgekleidet, an der nötigen Vorsorge tätigen Anteil genommen; alles war beruhigt und er fand sich mit Charlotte allein. Mit zutraulicher Freundlichkeit erklärte er nun, daß seine Abreise nahe bevorstehe. Sie hatte diesen Abend so viel erlebt, daß diese Entdeckung wenig Eindruck auf sie machte; sie hatte gesehen, wie der Freund sich aufopferte, wie er rettete und selbst gerettet war. Diese wunderbaren Ereignisse schienen ihr eine bedeutende
 
 Zukunft aber keine unglückliche zu weissagen.
Eduard, der mit Ottilie hereintrat, wurde die bevorstehende Abreise des Hauptmanns gleichfalls angekündigt. Er argwohnte, daß Charlotte früher um das Nähere gewußt habe, war aber viel zu sehr mit sich und seinen Absichten beschäftigt, als daß er es hätte übel empfinden sollen.
Im Gegenteil vernahm er aufmerksam und zufrieden die gute und ehrenvolle Lage in die der Hauptmann versetzt werden sollte. Unbändig drangen seine geheimen Wünsche den Begebenheiten vor. Schon sah er jenen mit Charlotte verbunden, sich mit Ottilie. Man hätte ihm zu diesem Fest kein größeres Geschenk machen können.
Aber wie erstaunt war Ottilie, als sie auf ihr Zimmer trat und den köstlichen kleinen
 
 Koffer auf ihrem Tische fand. Sie säumte nicht ihn zu eröffnen. Da zeigte sich alles so schön gepackt und geordnet, daß sie es nicht auseinander zu nehmen, ja kaum zu lüften wagte. Musselin, Batist, Seide,";5;;;;;;;;;;;;5;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
" n";12;;;;;;;;;;;;12;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;
" nach: Hört ihr? aber geschwind, geschwind!
 Der drollige Mann! rief Eduard aus: kommt er nicht gerade zur rechten Zeit, Charlotte? Geschwind zurück! befahl er dem Bedienten: sage ihm: es tue Not, sehr Not! Er soll nur absteigen. Versorgt sein Pferd, führt ihn in den Saal, set";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
" natürlich, ruhig und sich völlig selbstbewußt. Sie erinnerte sich vollkommen aller früheren Zeiten, aller Zustände mit großer Genauigkeit, und nichts in ihren Reden schritt aus dem gewöhnlichen Gange des Wahren und Wirklichen heraus, als nur die Begebenheit beim Leichenbegängnis, die sie mit Freudigkeit oft wiederholte: wie Ottilie sich aufgerichtet, sie gesegnet, ihr verziehen, und sie dadurch für immer beruhigt habe.
Der fortdauernd schöne, mehr schlaf- als todähnliche Zustand Ottilies zog mehrere Menschen herbei. Die Bewohner und Anwohner wollten sie noch sehen, und Jeder mochte gern aus Nanny's Munde das Unglaubliche hören; manche um darüber zu spotten
 
, die meisten um daran zu zweif";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
" nicht beleidigen dürfe, weil er so gut wie jeder andere unter dem Schutze Gottes und der Obrigkeit stehe, kam Eduard ganz aus der Fassung.
Der Hauptmann, ihn zu begütigen, sagte darauf: laß uns diesen Vorfall als eine Aufforderung annehmen, unsere ländliche Polizei auch hierüber zu erstrecken. Almosen muß man einmal geben; man tut aber besser, wenn man sie nicht selbst gibt, besonders zu Hause.  
Da sollte man mäßig und gleichförmig in allem sein, auch im Wohltun. Eine allzureichliche Gabe lockt Bettler herbei, anstatt sie abzufertigen; dagegen man wohl auf der Reise, im Vorbeifliegen, einem Armen an der Straße in der Gestalt des zufälligen Glücks erscheinen und ihm eine überraschende ";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
" noch etwas anderes. Während ihres letzten Aufenthalts bei Charlotte hatte sie mit dieser alles umständlich durchgesprochen was sich auf Eduard und Ottilie bezog. Sie bestand aber und abermals darauf: Ottilie müsse entfernt werden. Sie suchte Charlotte hierzu Mut einzusprechen, welche sich vor Eduards Drohungen noch immer fürchtete. Man sprach über die verschiedenen Auswege, und bei Gelegenheit der Pension war auch von der Neigung des Gehilfen die Rede, und die Baronesse entschloß sich um so mehr zu dem gedachten Besuch.
Sie kommt an, lernt den Gehilfen kennen, man beobachtet die Anstalt und spricht von Ottilie. Der Graf selbst unterhält sich gern über sie, indem er sie bei dem neulichen  
Besuch genauer kennen gelernt. Sie hatte sich ihm genähert, ja sie wurde von ihm angezogen, weil sie durch sein gehaltvolles Gespräch dasjenige zu sehen und zu kennen glaubte, was ihr bisher ganz unbekannt geblieben";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
" noch lebt die Hoffnung in meinem[...]Herzen, daß er sie dir, wenn sie gut und brav ist, verlobe,[...]Obgleich arm, so entschieden er auch die Arme versagt hat.";4;;;;;;;;;;;;;;;;;;;;;;4;4;;;;;;;;;;;;;;;;;;;
" nur in dem Augenblicke wenn das Schiff scheitert, sieht man wer schwimmen kann, und selbst gute [...]Schwimmer gehen unter solchen Umständen zu Grunde.[...]";3;;;;;;;;;;;;;;;;;;3;;;3;;;;;;;;;;;;;;;;;;;;;
" nur vom Platze soll man sich lossagen.";3;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" nähren, daß auch ein mäßiges Gute mit Entzücken genossen werden soll.
Laß mich gegen deinen Vorsatz, sagte Charlotte zuletzt nach einigem Bedenken, noch einen Einwurf anführen, der mir der wichtigste scheint. Es ist nicht von dir, es ist von einem Dritten die Rede. Die Gesinnungen  
des guten vernünftigen frommen Gehilfen sind dir bekannt; auf dem Wege den du gehst, wirst du ihm jeden Tag werter und unentbehrlicher sein. Da er schon jetzt, seinem Gefühl nach, nicht gern ohne dich leben mag, so wird er auch künftig, wenn er einmal deine";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
" o";12;;;;;;;;;;;;12;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;
" oder Tugenden, ";5;;;;;;;;;;;;5;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
" oder Tugenden, nur";4;;;;;;;;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
